,Unit,Value,Year,Month,Numeric_date
388,Parts Per Million,328.31,1974.0,11.0,1974.9166666666667
390,Parts Per Million,329.58,1974.0,12.0,1975.0
392,Parts Per Million,330.73,1975.0,1.0,1975.0833333333333
394,Parts Per Million,331.46,1975.0,2.0,1975.1666666666667
396,Parts Per Million,331.94,1975.0,3.0,1975.25
398,Parts Per Million,333.11,1975.0,4.0,1975.3333333333333
400,Parts Per Million,333.95,1975.0,5.0,1975.4166666666667
402,Parts Per Million,333.42,1975.0,6.0,1975.5
404,Parts Per Million,331.97,1975.0,7.0,1975.5833333333333
406,Parts Per Million,329.95,1975.0,8.0,1975.6666666666667
408,Parts Per Million,328.5,1975.0,9.0,1975.75
410,Parts Per Million,328.36,1975.0,10.0,1975.8333333333333
412,Parts Per Million,329.38,1975.0,11.0,1975.9166666666667
414,Parts Per Million,330.75,1975.0,12.0,1976.0
416,Parts Per Million,331.56,1976.0,1.0,1976.0833333333333
418,Parts Per Million,332.74,1976.0,2.0,1976.1666666666667
420,Parts Per Million,333.36,1976.0,3.0,1976.25
422,Parts Per Million,334.74,1976.0,4.0,1976.3333333333333
424,Parts Per Million,334.72,1976.0,5.0,1976.4166666666667
426,Parts Per Million,333.98,1976.0,6.0,1976.5
428,Parts Per Million,333.08,1976.0,7.0,1976.5833333333333
430,Parts Per Million,330.68,1976.0,8.0,1976.6666666666667
432,Parts Per Million,328.96,1976.0,9.0,1976.75
434,Parts Per Million,328.72,1976.0,10.0,1976.8333333333333
436,Parts Per Million,330.16,1976.0,11.0,1976.9166666666667
438,Parts Per Million,331.62,1976.0,12.0,1977.0
440,Parts Per Million,332.68,1977.0,1.0,1977.0833333333333
442,Parts Per Million,333.17,1977.0,2.0,1977.1666666666667
444,Parts Per Million,334.96,1977.0,3.0,1977.25
446,Parts Per Million,336.14,1977.0,4.0,1977.3333333333333
448,Parts Per Million,336.93,1977.0,5.0,1977.4166666666667
450,Parts Per Million,336.17,1977.0,6.0,1977.5
452,Parts Per Million,334.89,1977.0,7.0,1977.5833333333333
454,Parts Per Million,332.56,1977.0,8.0,1977.6666666666667
456,Parts Per Million,331.29,1977.0,9.0,1977.75
458,Parts Per Million,331.28,1977.0,10.0,1977.8333333333333
460,Parts Per Million,332.46,1977.0,11.0,1977.9166666666667
462,Parts Per Million,333.6,1977.0,12.0,1978.0
464,Parts Per Million,334.94,1978.0,1.0,1978.0833333333333
466,Parts Per Million,335.26,1978.0,2.0,1978.1666666666667
468,Parts Per Million,336.66,1978.0,3.0,1978.25
470,Parts Per Million,337.69,1978.0,4.0,1978.3333333333333
472,Parts Per Million,338.02,1978.0,5.0,1978.4166666666667
474,Parts Per Million,338.01,1978.0,6.0,1978.5
476,Parts Per Million,336.5,1978.0,7.0,1978.5833333333333
478,Parts Per Million,334.42,1978.0,8.0,1978.6666666666667
480,Parts Per Million,332.36,1978.0,9.0,1978.75
482,Parts Per Million,332.45,1978.0,10.0,1978.8333333333333
484,Parts Per Million,333.76,1978.0,11.0,1978.9166666666667
486,Parts Per Million,334.91,1978.0,12.0,1979.0
488,Parts Per Million,336.14,1979.0,1.0,1979.0833333333333
490,Parts Per Million,336.69,1979.0,2.0,1979.1666666666667
492,Parts Per Million,338.27,1979.0,3.0,1979.25
494,Parts Per Million,338.82,1979.0,4.0,1979.3333333333333
496,Parts Per Million,339.24,1979.0,5.0,1979.4166666666667
498,Parts Per Million,339.26,1979.0,6.0,1979.5
500,Parts Per Million,337.54,1979.0,7.0,1979.5833333333333
502,Parts Per Million,335.72,1979.0,8.0,1979.6666666666667
504,Parts Per Million,333.97,1979.0,9.0,1979.75
506,Parts Per Million,334.24,1979.0,10.0,1979.8333333333333
508,Parts Per Million,335.32,1979.0,11.0,1979.9166666666667
510,Parts Per Million,336.81,1979.0,12.0,1980.0
512,Parts Per Million,337.9,1980.0,1.0,1980.0833333333333
514,Parts Per Million,338.34,1980.0,2.0,1980.1666666666667
516,Parts Per Million,340.07,1980.0,3.0,1980.25
518,Parts Per Million,340.93,1980.0,4.0,1980.3333333333333
520,Parts Per Million,341.45,1980.0,5.0,1980.4166666666667
522,Parts Per Million,341.36,1980.0,6.0,1980.5
524,Parts Per Million,339.45,1980.0,7.0,1980.5833333333333
526,Parts Per Million,337.67,1980.0,8.0,1980.6666666666667
528,Parts Per Million,336.25,1980.0,9.0,1980.75
530,Parts Per Million,336.14,1980.0,10.0,1980.8333333333333
532,Parts Per Million,337.3,1980.0,11.0,1980.9166666666667
534,Parts Per Million,338.29,1980.0,12.0,1981.0
536,Parts Per Million,339.29,1981.0,1.0,1981.0833333333333
538,Parts Per Million,340.55,1981.0,2.0,1981.1666666666667
540,Parts Per Million,341.63,1981.0,3.0,1981.25
542,Parts Per Million,342.6,1981.0,4.0,1981.3333333333333
544,Parts Per Million,343.04,1981.0,5.0,1981.4166666666667
546,Parts Per Million,342.54,1981.0,6.0,1981.5
548,Parts Per Million,340.82,1981.0,7.0,1981.5833333333333
550,Parts Per Million,338.48,1981.0,8.0,1981.6666666666667
552,Parts Per Million,336.95,1981.0,9.0,1981.75
554,Parts Per Million,337.05,1981.0,10.0,1981.8333333333333
556,Parts Per Million,338.57,1981.0,11.0,1981.9166666666667
558,Parts Per Million,339.91,1981.0,12.0,1982.0
560,Parts Per Million,340.93,1982.0,1.0,1982.0833333333333
562,Parts Per Million,341.76,1982.0,2.0,1982.1666666666667
564,Parts Per Million,342.77,1982.0,3.0,1982.25
566,Parts Per Million,343.96,1982.0,4.0,1982.3333333333333
568,Parts Per Million,344.77,1982.0,5.0,1982.4166666666667
570,Parts Per Million,343.88,1982.0,6.0,1982.5
572,Parts Per Million,342.42,1982.0,7.0,1982.5833333333333
574,Parts Per Million,340.24,1982.0,8.0,1982.6666666666667
